Author Id,Category,Data,Date,Id,Location,Tweet Id
4847491970,crime,"RT @ANCA_DC: Normalizing #genocide encourages renewed genocide - betraying victims, abetting killers, and emboldening future perpetrators.…",16-12-2021,11,Armenia,1.47153E+18
1.45855E+18,crime,"We call upon the governments of China, Iran, Turkey, and UAE to not provide drones and other military equipment to the Ethiopian government to further commit genocide on the Oromo people and many others. @EU_Commission @JosepBorrellF @UNHumanRights @UNESCO #HumanRightsForOromia",16-12-2021,12,USA,1.47153E+18
39091280,crime,"RT @nytimes: The posthumous brain examination of Phillip Adams, a retired NFL player who shot and killed six people in April before fatally…",16-12-2021,13,USA,1.47153E+18
2157560552,crime,"@janecoaston Yes, psychologically, the propensity to believe overcomes logic. Good paper by APA goes into this.  https://t.co/pypyM1PYSQ “the more your participants believe that Princess Diana faked her own death, the more they also believe that she was murdered”",16-12-2021,14,USA,1.47153E+18
1.44938E+18,crime,RT @swilkinsonbc: A Syrian soldier is killed at dawn by another israeli missile on Golan Heights in southern Syria — the only language isra…,16-12-2021,15,USA,1.47153E+18
2734574376,crime,"RT @BillFOXLA: The Texas mother and daughter killed after a suspected human smuggler crashed into them while fleeing police in Mission, TX…",16-12-2021,16,USA,1.47153E+18
17751422,crime,"RT @Cernovich: The regime takes care of its own. 

Meanwhile “principled conservatives” trip over themselves to disavow naughty words. 

Th…",16-12-2021,17,Japan,1.47153E+18
1.40087E+18,crime,SDNY &amp; DOJ MUST THROW THE RICO LAW AT TRUMP. THERE R THOUSANDS SITTING IN JAIL FOR LESSER CRIMES. TRUMP &amp; HIS HENCHMEN R LITERALLY SHITTING ON OUR RULE OF LAW. I AM APPALLED THAT NO ONE HAS PAID A PRICE FOR JANUARY 6TH.."NOT A F..KING SOUL.,16-12-2021,18,USA,1.47153E+18
19495825,crime,@rodbinthicke is in the replies like “OMFGGGG YASSSSS THANK U (RACIST PIGS) POLICE!! THESE DRUMPFERS WERE TRYING TO KILL A FEW MILLION MORE!!! JAIL EM!!!” https://t.co/iercqLmnPo,16-12-2021,19,USA,1.47153E+18
221347104,economy,"RT @cathalcoleman11: Comparing and contrasting with the 1990s, Jonathan Freedland (and Jolyon Maugham), detail the shocking corruption of t…",16-12-2021,20,United Kingdom,1.47153E+18
1.34592E+18,economy,"RT @INotoriousxrp: Let's make this very clear...we the #XRPArmy smell Corruption...by the SEC!... IT'S VERY CLEAR!! VERY CLEAR!! 
#XRP #XRP…",16-12-2021,21,France,1.47153E+18
8.66466E+17,economy,well for 150 years Canadians have not had the balls to fix the Quebec corruption problem - and  stupids are happy for the next 150 years of eating more sh** - yum yum https://t.co/wwL9DVwgDu,16-12-2021,22,Canada,1.47153E+18
431930749,economy,"@pritipatel,@trussliz French police looking on (again) whilst illegal economic migrants set off to cross the channel. Why are you paying France? This has been carrying on for over a year now, with no evidence you are doing anything to stop the ""invasion""! https://t.co/ItJDcBUbIZ",16-12-2021,23,United Kingdom,1.47153E+18
339724538,economy,"Nearly 45 million Americans are set to face a continued period of #studentloan repayments after February 1, 2022.

Biden can address this economic and mental health crisis by executing his campaign promises on #studentloanforgiveness.

https://t.co/ZvfjrCHkxQ",16-12-2021,24,USA,1.47153E+18
2919366597,economy,"RT @RepStefanik: Inflation is up. 

Numbers don’t lie. Democrats’ Far-Left agenda has created an economic crisis in this country.",16-12-2021,25,South Africa,1.47153E+18
2870686765,economy,Greeted @PChidambaram_IN sir at Guwahati today. His lecture mirrors the 7 years of misgovernance of the BJP govt leading to the enormous economic downfall. https://t.co/oOKBuYCuNi,16-12-2021,26,India,1.47153E+18
1.15252E+18,economy,"It is the balance of fear and greed over the lending cycle driven by the banks’ response to the economic conditions which leads to the expansion and contraction of bank credit.  
https://t.co/0yhhalkPXp",16-12-2021,27,Cyprus,1.47152E+18
1.05697E+18,economy,"RT @_fels1: According to Kenya Railways, those travelling to Kism via train should get to the station by 5:30 am, departure is 6 am and arr…",16-12-2021,28,Kenya,1.47153E+18
3313635276,economy,"@B52Malmet One in three West Virginia kids under the age of 5 lives in poverty.
https://t.co/VEMWaKoJq3",16-12-2021,29,USA,1.47153E+18
1.46417E+18,economy,"""All Major Cities Have Turned Into Slums"": Supreme Court On Encroachments - https://t.co/0iPHZm2oeU",16-12-2021,30,India,1.47153E+18
4797495989,military,"""We think that knowledge about terrorism and the historical understanding of terrorism can improve the resilience of pupils in times of crisis and distress""

Read more from Wansink et al. 

FREE ACCESS!!

https://t.co/JTUnRBiz1c",16-12-2021,31,USA,1.47153E+18
606026991,military,TPLF are Terrorists Per @DHSGov "The TPLF qualifies as a Tier III terrorist org on the basis of its violent activities before it became part of the ruling coalition &amp; the govt of Ethiopia in May 1991": https://t.co/zpMS2wZTMf TPLF is back to what it knows. #NoMore #TwitterRacism,16-12-2021,32,USA,1.47153E+18
9.76268E+17,military,"RT @CathyGraphics3: Question:
How long before we classify the #GOPTraitors as a terrorist group?

-Asking for a country. https://t.co/rlEIn…",16-12-2021,33,USA,1.47153E+18
1.17643E+18,military,"RT @Samya77011344: @BarackObama @POTUS With blind support of the US ADMINISTRATION in 1971 to Pakistan sending 7th Fleet against INDIA
watc…",16-12-2021,34,France,1.47153E+18
1.17643E+18,military,"RT @Samya77011344: @VP With blind support of the US ADMINISTRATION in 1971 to Pakistan sending 7th Fleet against INDIA
watch Front Page of…",16-12-2021,35,France,1.47153E+18
740580974,military,RT @Ndawsari: Houthis lured a gymnastic champion (a child) to join their Jihad. He was killed recently while fighting on behalf of Houthis…,16-12-2021,36,United Kingdom,1.47153E+18
2649679742,military,"WHY IS #WH anti-#UKRAINE? HISTORY: #Ukraine must NEVER ""provoke"" #Russia so
* #Ukraine must give up #nukes 2 #Russia
*#Ukraine must give #Crimea 2 #Russia: no fighting back
* #Ukraine must'n return fire in #DONBAS; 1,400 killed
* not use defensive weapons allocated by #Congress https://t.co/X3ZTCtYsuJ",16-12-2021,37,USA,1.47153E+18
1.37145E+18,military,"RT @HaileTsigab: #UAE,#Turkey, #Iran #China #Russia are involved on the #WarOnTigray by providing armed drones &amp; weapons to the genocidal #…",16-12-2021,38,USA,1.47153E+18
7.69012E+17,military,"RT @GavinNewsom: SCOTUS is letting private citizens in Texas sue to stop abortion?!

If that's the precedent then we'll let Californians su…",16-12-2021,39,USA,1.47153E+18
1.31406E+18,military,"RT @1VEvl820cU1ywEH: Journalists have risked and lost their lives to tell stories of war and terror in Tigray. Attacks, detention and killi…",16-12-2021,40,USA,1.47153E+18
1.37116E+18,military,"SAC troops invaded and set fireto &gt;20 houses in NgaMyaung Vlg,Myaing Tsp,Magway,forcing locals to flee.SAC also raided &amp; destroyed the houses. Now some locals returned to village and extinguished the fire.  #Dec16Coup #WhatsHappeningInMyanmar https://t.co/bkPHtxb5LT",16-12-2021,41,USA,1.47153E+18
1.37116E+18,military,"Terrorists and Guarding Militants at Botpyin checkpoints extorting from passingby rubber traders in #Dawei.Rubber traders have to give 1tan of rubber per 1lakh or 50000kyats. Since Feb1, troops are extorting from civilians everywhere. #Dec16Coup #WhatsHappeningInMyanmar",16-12-2021,42,USA,1.47153E+18
3312612956,military,"SAC troops stationed at a school in Karen State, opened artillery shells. It has damaged some homes, shooting has injured 1 person, &amp; thousands of villagers are fleeing. #Cambodia_RejectTerrorists #Dec16Coup    #WhatsHappeningInMyanmar https://t.co/Yq5LkZ5GDF",16-12-2021,43,USA,1.47153E+18
1399938570,military,"RT @MilHistNow: On this day in 1944, 200,000 German troops backed by 1,600 guns and 350 tanks launch Hitler's last-ditch Ardennes Offensive…",16-12-2021,44,Ukraine,1.47153E+18
3048651516,military,"RT @CassyWearsHeels: BREAKING: 4,000 soldiers in the Army have refused the mandate to get the COVID vaccine.",16-12-2021,45,USA,1.47153E+18
283966951,military,RT @HermelaTV: The spoiled/delusional pro-TPLF diaspora that self id’s as Tigrayan needs to wake up. Stop pointing to the very news sources…,16-12-2021,46,Ethiopia,1.47153E+18
